start_ip,end_ip,asn
45.187.51.0,45.187.51.255,269855
45.189.119.0,45.189.119.255,269867
45.189.235.0,45.189.235.255,273006
45.190.86.0,45.190.86.255,269893
45.191.44.0,45.191.44.255,3816
45.191.45.0,45.191.45.255,269900
45.191.47.0,45.191.47.255,262186
45.191.74.0,45.191.74.255,269893
45.191.75.0,45.191.75.255,272942
45.191.232.0,45.191.232.255,269895
45.191.233.0,45.191.233.255,269895
45.191.234.0,45.191.234.255,269895
45.191.235.0,45.191.235.255,269895
45.192.8.0,45.192.8.255,27951
45.192.18.0,45.192.18.255,262191
45.192.20.0,45.192.20.255,273020
45.194.7.0,45.194.7.255,274879
45.194.69.0,45.194.69.255,273908
45.194.119.0,45.194.119.255,273986
45.195.68.0,45.195.68.255,27951
45.195.104.0,45.195.104.255,273020
45.195.254.0,45.195.254.255,27951
45.196.91.0,45.196.91.255,27951
45.196.223.0,45.196.223.255,274310
45.224.186.0,45.224.186.255,27951
45.225.224.0,45.225.224.255,265855
45.225.225.0,45.225.225.255,27951
45.225.226.0,45.225.226.255,265855
45.225.227.0,45.225.227.255,265855
45.226.112.0,45.226.115.255,265861
45.226.186.0,45.226.187.255,27951
45.227.5.0,45.227.5.255,266669
45.228.66.0,45.228.66.255,266747
45.229.72.0,45.229.72.255,266698
45.229.73.0,45.229.73.255,266698
45.229.192.0,45.229.192.255,267757
45.229.193.0,45.229.193.255,267757
45.230.33.0,45.230.33.255,266698
45.231.184.0,45.231.187.255,266737
45.233.168.0,45.233.168.255,266816
45.233.169.0,45.233.169.255,266816
45.233.170.0,45.233.170.255,266816
45.233.171.0,45.233.171.255,266816
45.235.40.0,45.235.40.255,262191
45.235.41.0,45.235.41.255,262191
45.235.42.0,45.235.42.255,266774
45.235.43.0,45.235.43.255,266774
45.235.212.0,45.235.212.255,27855
45.235.213.0,45.235.213.255,27855
45.235.214.0,45.235.214.255,27855
45.235.215.0,45.235.215.255,27855
45.238.96.0,45.238.99.255,52320
45.238.144.0,45.238.147.255,266832
45.238.180.0,45.238.180.255,266860
45.238.181.0,45.238.181.255,266860
45.238.182.0,45.238.182.255,266860
45.238.183.0,45.238.183.255,266860
45.238.196.0,45.238.196.255,266848
45.238.197.0,45.238.197.255,266848
45.238.198.0,45.238.198.255,266848
45.238.199.0,45.238.199.255,266848
45.239.88.0,45.239.91.255,266862
45.239.107.0,45.239.107.255,273074
45.239.115.0,45.239.115.255,266868
51.146.114.0,51.146.114.255,274241
51.194.196.0,51.194.199.255,273120
64.76.80.0,64.76.80.255,273057
64.76.212.0,64.76.212.255,27989
64.204.90.0,64.204.90.255,273894
66.231.64.0,66.231.64.255,23246
66.231.76.0,66.231.79.255,23246
66.253.71.0,66.253.71.255,274983
67.73.224.0,67.73.239.255,27650
76.72.168.0,76.72.168.255,273993
76.72.170.0,76.72.170.255,273993
77.247.120.0,77.247.120.255,273221
77.247.121.0,77.247.121.255,273221
77.247.122.0,77.247.122.255,273221
77.247.123.0,77.247.123.255,273221
78.142.241.0,78.142.241.255,14080
89.190.152.0,89.190.155.255,274208
91.132.30.0,91.132.30.255,274947
91.205.232.0,91.205.232.255,273194
91.205.233.0,91.205.233.255,273194
91.205.234.0,91.205.234.255,273194
91.205.235.0,91.205.235.255,273194
103.57.250.0,103.57.250.255,7195
103.99.32.0,103.99.32.255,272953
103.133.208.0,103.133.208.255,262191
103.133.209.0,103.133.209.255,262191
103.133.210.0,103.133.210.255,262191
103.133.211.0,103.133.211.255,262191
103.212.83.0,103.212.83.255,269822
103.219.234.0,103.219.235.255,269822
107.149.165.0,107.149.165.255,273894
108.165.0.0,108.165.3.255,14080
109.70.134.0,109.70.134.255,273134
130.250.228.0,130.250.231.255,270035
131.0.136.0,131.0.139.255,61467
131.0.168.0,131.0.169.255,262191
131.0.170.0,131.0.170.255,262191
131.0.171.0,131.0.171.255,262191
131.72.136.0,131.72.139.255,272043
131.100.48.0,131.100.48.255,270062
131.100.49.0,131.100.49.255,270062
131.100.50.0,131.100.50.255,270062
131.100.51.0,131.100.51.255,270062
131.108.168.0,131.108.171.255,10299
131.196.208.0,131.196.209.255,265696
131.196.210.0,131.196.210.255,265696
131.196.211.0,131.196.211.255,265696
131.196.212.0,131.196.213.255,265696
131.196.214.0,131.196.214.255,265696
131.196.215.0,131.196.215.255,265696
131.221.40.0,131.221.40.255,272992
131.221.41.0,131.221.41.255,272992
131.221.42.0,131.221.42.255,272992
131.221.43.0,131.221.43.255,272992
131.255.17.0,131.255.17.255,271908
131.255.18.0,131.255.18.255,271908
131.255.19.0,131.255.19.255,274043
132.255.20.0,132.255.20.255,27951
132.255.21.0,132.255.21.255,27951
132.255.22.0,132.255.22.255,27951
132.255.23.0,132.255.23.255,27951
134.135.176.0,134.135.191.255,64140
136.0.45.0,136.0.45.255,14080
136.0.47.0,136.0.47.255,14080
138.0.40.0,138.0.43.255,52320
138.0.88.0,138.0.88.255,264646
138.0.89.0,138.0.89.255,264646
138.0.90.0,138.0.90.255,264646
138.0.91.0,138.0.91.255,264646
138.0.116.0,138.0.119.255,262186
138.36.64.0,138.36.64.255,52467
138.36.65.0,138.36.65.255,52467
138.36.66.0,138.36.66.255,52467
138.97.56.0,138.97.59.255,13489
138.97.80.0,138.97.80.255,19429
138.97.81.0,138.97.81.255,19429
138.97.82.0,138.97.82.255,19429
138.97.83.0,138.97.83.255,19429
138.117.40.0,138.117.40.255,274059
138.117.41.0,138.117.41.255,272812
138.117.43.0,138.117.43.255,269980
138.117.84.0,138.117.87.255,265688
138.117.108.0,138.117.108.255,27951
138.117.109.0,138.117.109.255,27951
138.117.110.0,138.117.110.255,27951
138.117.111.0,138.117.111.255,27951
138.117.136.0,138.117.136.255,61498
138.117.137.0,138.117.137.255,61498
138.117.168.0,138.117.168.255,271851
138.117.169.0,138.117.169.255,271851
138.117.170.0,138.117.170.255,271851
138.117.171.0,138.117.171.255,271851
138.118.136.0,138.118.136.255,265705
138.121.4.0,138.121.4.255,61499
138.121.5.0,138.121.5.255,61499
138.121.6.0,138.121.6.255,61499
138.121.7.0,138.121.7.255,61499
138.121.12.0,138.121.12.255,262191
138.121.13.0,138.121.13.255,262191
138.121.14.0,138.121.14.255,262191
138.121.15.0,138.121.15.255,262191
138.121.156.0,138.121.159.255,262191
138.122.201.0,138.122.201.255,10299
138.122.202.0,138.122.202.255,10299
138.122.203.0,138.122.203.255,10299
138.186.188.0,138.186.188.255,263802
138.186.189.0,138.186.189.255,263802
138.186.190.0,138.186.190.255,263802
138.186.191.0,138.186.191.255,263802
138.204.236.0,138.204.239.255,52320
141.11.93.0,141.11.93.255,273894
143.0.92.0,143.0.92.255,263836
143.0.93.0,143.0.93.255,263836
143.0.94.0,143.0.94.255,263836
143.0.95.0,143.0.95.255,263836
143.0.102.0,143.0.103.255,264647
143.137.96.0,143.137.99.255,265693
144.225.192.0,144.225.192.255,14080
144.225.193.0,144.225.193.255,14080
144.225.194.0,144.225.194.255,14080
144.225.195.0,144.225.195.255,14080
144.225.196.0,144.225.196.255,14080
144.225.197.0,144.225.197.255,14080
144.225.198.0,144.225.198.255,14080
144.225.199.0,144.225.199.255,14080
147.75.112.0,147.75.127.255,262186
148.222.225.0,148.222.225.255,64124
148.222.238.0,148.222.238.255,273993
148.222.239.0,148.222.239.255,273993
148.224.28.0,148.224.28.255,274193
149.78.164.0,149.78.164.255,27951
149.78.165.0,149.78.165.255,27951
149.78.166.0,149.78.166.255,27951
149.78.167.0,149.78.167.255,27951
149.78.168.0,149.78.168.255,274141
149.78.169.0,149.78.169.255,274141
149.78.170.0,149.78.170.255,274141
149.78.171.0,149.78.171.255,274141
151.246.169.0,151.246.169.255,265833
151.246.172.0,151.246.173.255,265833
152.200.0.0,152.200.31.255,3816
152.200.32.0,152.200.32.255,3816
152.200.128.0,152.200.143.255,3816
152.200.144.0,152.200.147.255,3816
152.200.148.0,152.200.151.255,3816
152.200.152.0,152.200.155.255,3816
152.200.156.0,152.200.159.255,3816
152.200.160.0,152.200.163.255,3816
152.200.164.0,152.200.167.255,3816
152.200.168.0,152.200.171.255,3816
152.200.172.0,152.200.175.255,3816
152.200.176.0,152.200.191.255,3816
152.200.192.0,152.200.207.255,3816
152.200.208.0,152.200.211.255,3816
152.200.212.0,152.200.215.255,3816
152.200.216.0,152.200.219.255,3816
152.200.220.0,152.200.223.255,3816
152.200.224.0,152.200.231.255,3816
152.200.232.0,152.200.232.255,3816
152.200.233.0,152.200.233.255,3816
152.200.234.0,152.200.234.255,3816
152.200.235.0,152.200.235.255,3816
152.200.236.0,152.200.236.255,3816
152.200.237.0,152.200.237.255,3816
152.200.238.0,152.200.238.255,3816
152.200.239.0,152.200.239.255,3816
152.200.240.0,152.200.240.255,3816
152.200.241.0,152.200.241.255,3816
152.200.242.0,152.200.242.255,3816
152.200.243.0,152.200.243.255,3816
152.200.244.0,152.200.244.255,3816
152.200.245.0,152.200.245.255,3816
152.200.246.0,152.200.246.255,3816
152.200.247.0,152.200.247.255,3816
152.200.248.0,152.200.251.255,3816
152.201.32.0,152.201.63.255,3816
152.201.64.0,152.201.95.255,3816
152.201.96.0,152.201.127.255,3816
152.201.160.0,152.201.191.255,3816
152.201.192.0,152.201.223.255,3816
152.201.224.0,152.201.255.255,3816
152.202.0.0,152.202.31.255,3816
152.202.32.0,152.202.63.255,3816
152.202.64.0,152.202.95.255,3816
152.202.96.0,152.202.127.255,3816
152.202.128.0,152.202.159.255,3816
152.202.160.0,152.202.191.255,3816
152.202.192.0,152.202.223.255,3816
152.202.224.0,152.202.255.255,3816
152.203.0.0,152.203.15.255,3816
152.203.16.0,152.203.31.255,3816
152.203.32.0,152.203.63.255,3816
152.203.64.0,152.203.127.255,3816
152.203.128.0,152.203.159.255,3816
152.203.160.0,152.203.191.255,3816
152.203.192.0,152.203.223.255,3816
152.203.224.0,152.203.255.255,3816
152.204.0.0,152.204.127.255,3816
152.204.128.0,152.204.131.255,3816
152.204.132.0,152.204.132.255,3816
152.204.134.0,152.204.134.255,3816
152.204.136.0,152.204.143.255,3816
152.204.144.0,152.204.159.255,3816
152.204.160.0,152.204.175.255,3816
152.204.176.0,152.204.191.255,3816
152.204.192.0,152.204.223.255,3816
152.204.224.0,152.204.255.255,3816
152.205.0.0,152.205.63.255,3816
152.205.192.0,152.205.255.255,3816
152.231.24.0,152.231.24.255,266877
152.231.25.0,152.231.25.255,266877
152.231.27.0,152.231.27.255,266877
152.231.28.0,152.231.28.255,266877
152.231.30.0,152.231.30.255,27951
152.231.31.0,152.231.31.255,266877
154.6.62.0,154.6.62.255,14080
154.197.34.0,154.197.35.255,262191
154.198.58.0,154.198.58.255,267834
155.117.250.0,155.117.250.255,274311
157.253.0.0,157.253.255.255,3603
157.254.10.0,157.254.10.255,274268
157.254.152.0,157.254.152.255,274005
161.10.0.0,161.10.15.255,3816
161.10.16.0,161.10.31.255,3816
161.10.32.0,161.10.47.255,3816
161.10.48.0,161.10.63.255,3816
161.10.64.0,161.10.79.255,3816
161.10.80.0,161.10.95.255,3816
